Date,Description,Amount
05/08/2024,BBPS DR-TPDDL ELECTRICITY BILL AUG2024,-1870
06/08/2024,NACH DR-AIRTEL BROADBAND BILL AUG2024,-799
08/08/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-310
09/08/2024,UPI/NETFLIX INDIA/Monthly Subscription/netflix@okicici,-199
12/08/2024,POS TXN-RELIANCE FRESH ROHINI DELHI,-1530
13/08/2024,NEFT CR-ICICI0009876-FREELANCE PAYMENT-WEBAGENCY,7000
14/08/2024,UPI/AMAZON PAY/Shopping/amazon@apl,-1249
15/08/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-510
17/08/2024,POS TXN-HP PETROL PUMP PITAMPURA DELHI,-1500
18/08/2024,UPI/SPOTIFY INDIA/Premium Monthly/spotify@okhdfc,-119
19/08/2024,UPI/UBER INDIA/Cab Ride/uber@okaxis,-175
20/08/2024,POS TXN-DMART ROHINI DELHI,-2150
22/08/2024,UPI/OLA/Cab Ride/ola@okicici,-165
24/08/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-270
27/08/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-440
28/08/2024,UPI/MEDPLUS/Medicine/medplus@ybl,-510
30/08/2024,BBPS DR-DJB WATER BILL AUG2024,-380
01/09/2024,NEFT CR-AXIS0003456-SALARY SEP 2024-HCL TECHNOLOGIES LTD,46000
01/09/2024,NACH DR-AXIS PERSONAL LOAN EMI SEP2024,-8500
02/09/2024,UPI/BLINKIT/Grocery Order/blinkit@ybl,-1350
03/09/2024,NACH DR-JIO MOBILE RECHARGE SEP2024,-239
04/09/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-400
05/09/2024,BBPS DR-TPDDL ELECTRICITY BILL SEP2024,-1640
06/09/2024,NACH DR-AIRTEL BROADBAND BILL SEP2024,-799
08/09/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-340
09/09/2024,UPI/NETFLIX INDIA/Monthly Subscription/netflix@okicici,-199
10/09/2024,UPI/UBER INDIA/Cab Ride/uber@okaxis,-205
12/09/2024,POS TXN-MORE SUPERMARKET PITAMPURA DELHI,-1740
14/09/2024,UPI/MYNTRA/Fashion Order/myntra@ybl,-2499
15/09/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-490
17/09/2024,POS TXN-HP PETROL PUMP PITAMPURA DELHI,-1500
18/09/2024,UPI/SPOTIFY INDIA/Premium Monthly/spotify@okhdfc,-119
20/09/2024,POS TXN-DMART ROHINI DELHI,-2080
22/09/2024,UPI/OLA/Cab Ride/ola@okicici,-180
24/09/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-300
25/09/2024,NACH DR-LIC PREMIUM SEP2024,-2000
27/09/2024,UPI/APOLLO PHARMACY/Medicine/apollo@okhdfc,-390
29/09/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-460
30/09/2024,BBPS DR-DJB WATER BILL SEP2024,-380
01/10/2024,NEFT CR-AXIS0003456-SALARY OCT 2024-HCL TECHNOLOGIES LTD,46000
01/10/2024,NACH DR-AXIS PERSONAL LOAN EMI OCT2024,-8500
02/10/2024,UPI/BLINKIT/Grocery Order/blinkit@ybl,-1420
03/10/2024,NACH DR-JIO MOBILE RECHARGE OCT2024,-239
04/10/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-440
05/10/2024,BBPS DR-TPDDL ELECTRICITY BILL OCT2024,-1380
06/10/2024,NACH DR-AIRTEL BROADBAND BILL OCT2024,-799
08/10/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-290
09/10/2024,UPI/NETFLIX INDIA/Monthly Subscription/netflix@okicici,-199
10/10/2024,UPI/UBER INDIA/Cab Ride/uber@okaxis,-190
12/10/2024,POS TXN-RELIANCE FRESH ROHINI DELHI,-1610
13/10/2024,NEFT CR-ICICI0009876-FREELANCE PAYMENT-WEBAGENCY,7000
14/10/2024,UPI/FLIPKART/Diwali Sale Shopping/flipkart@ybl,-4599
15/10/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-420
17/10/2024,POS TXN-HP PETROL PUMP PITAMPURA DELHI,-1500
18/10/2024,UPI/SPOTIFY INDIA/Premium Monthly/spotify@okhdfc,-119
20/10/2024,POS TXN-DMART ROHINI DELHI,-2450
22/10/2024,UPI/AMAZON PAY/Diwali Shopping/amazon@apl,-3199
24/10/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-330
27/10/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-510
28/10/2024,UPI/MEDPLUS/Medicine/medplus@ybl,-280
31/10/2024,BBPS DR-DJB WATER BILL OCT2024,-380
01/11/2024,NEFT CR-AXIS0003456-SALARY NOV 2024-HCL TECHNOLOGIES LTD,46000
01/11/2024,NACH DR-AXIS PERSONAL LOAN EMI NOV2024,-8500
02/11/2024,UPI/BLINKIT/Grocery Order/blinkit@ybl,-1160
03/11/2024,NACH DR-JIO MOBILE RECHARGE NOV2024,-239
04/11/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-370
05/11/2024,BBPS DR-TPDDL ELECTRICITY BILL NOV2024,-1290
06/11/2024,NACH DR-AIRTEL BROADBAND BILL NOV2024,-799
08/11/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-260
09/11/2024,UPI/NETFLIX INDIA/Monthly Subscription/netflix@okicici,-199
10/11/2024,UPI/UBER INDIA/Cab Ride/uber@okaxis,-215
12/11/2024,POS TXN-MORE SUPERMARKET PITAMPURA DELHI,-1550
14/11/2024,UPI/AMAZON PAY/Shopping/amazon@apl,-1099
15/11/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-450
17/11/2024,POS TXN-HP PETROL PUMP PITAMPURA DELHI,-1500
18/11/2024,UPI/SPOTIFY INDIA/Premium Monthly/spotify@okhdfc,-119
20/11/2024,POS TXN-DMART ROHINI DELHI,-1960
22/11/2024,UPI/OLA/Cab Ride/ola@okicici,-170
24/11/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-300
25/11/2024,NACH DR-LIC PREMIUM NOV2024,-2000
27/11/2024,UPI/APOLLO PHARMACY/Medicine/apollo@okhdfc,-460
29/11/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-390
30/11/2024,BBPS DR-DJB WATER BILL NOV2024,-380
01/12/2024,NEFT CR-AXIS0003456-SALARY DEC 2024-HCL TECHNOLOGIES LTD,46000
01/12/2024,NEFT CR-AXIS0003456-ANNUAL BONUS DEC 2024-HCL TECHNOLOGIES LTD,18000
01/12/2024,NACH DR-AXIS PERSONAL LOAN EMI DEC2024,-8500
02/12/2024,UPI/BLINKIT/Grocery Order/blinkit@ybl,-1480
03/12/2024,NACH DR-JIO MOBILE RECHARGE DEC2024,-239
04/12/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-460
05/12/2024,BBPS DR-TPDDL ELECTRICITY BILL DEC2024,-1350
06/12/2024,NACH DR-AIRTEL BROADBAND BILL DEC2024,-799
08/12/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-320
09/12/2024,UPI/NETFLIX INDIA/Monthly Subscription/netflix@okicici,-199
10/12/2024,UPI/UBER INDIA/Cab Ride/uber@okaxis,-225
12/12/2024,POS TXN-RELIANCE FRESH ROHINI DELHI,-1720
13/12/2024,NEFT CR-ICICI0009876-FREELANCE PAYMENT-WEBAGENCY,7000
14/12/2024,UPI/MYNTRA/End of Season Sale/myntra@ybl,-3499
15/12/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-540
17/12/2024,POS TXN-HP PETROL PUMP PITAMPURA DELHI,-1500
18/12/2024,UPI/SPOTIFY INDIA/Premium Monthly/spotify@okhdfc,-119
20/12/2024,POS TXN-DMART ROHINI DELHI,-2640
22/12/2024,UPI/AMAZON PAY/Shopping/amazon@apl,-2199
24/12/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-350
25/12/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-620
27/12/2024,UPI/MAKEMYTRIP/Hotel Booking/mmt@okaxis,-8500
28/12/2024,UPI/OLA/Cab Ride/ola@okicici,-195
30/12/2024,UPI/MEDPLUS/Medicine/medplus@ybl,-320
31/12/2024,BBPS DR-DJB WATER BILL DEC2024,-380
