Date,Description,Amount
15/05/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-410
16/05/2024,POS TXN-DMart WHITEFIELD BENGALURU,-3120
17/05/2024,UPI/OLA/Cab Ride/ola@okicici,-165
18/05/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-460
19/05/2024,UPI/BLINKIT/Grocery Order/blinkit@ybl,-960
20/05/2024,UPI/RAPIDO/Bike Ride/rapido@okaxis,-95
20/05/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-370
21/05/2024,POS TXN-MEDPLUS PHARMACY HSR LAYOUT,-280
22/05/2024,UPI/MCDONALDS INDIA/Lunch/mcdonalds@okicici,-490
23/05/2024,NACH DR-NOTION TEAM PLAN MONTHLY,-800
24/05/2024,UPI/IRCTC/Train Ticket BLR-HYD/irctc@okhdfc,-650
25/05/2024,UPI/BIGBASKET/Grocery Order/bigbasket@okaxis,-870
25/05/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-395
26/05/2024,UPI/UBER INDIA/Cab Ride/uber@okaxis,-190
27/05/2024,NACH DR-NORDVPN MONTHLY SUBSCRIPTION,-349
28/05/2024,POS TXN-RELIANCE FRESH KORAMANGALA BENGALURU,-1340
29/05/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-440
30/05/2024,UPI/GITHUB/Pro Monthly Plan/github@okhdfc,-450
31/05/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-415
01/06/2024,NEFT CR-HDFC0001234-SALARY JUNE 2024-TECHCORP INDIA PVT LTD,92000
01/06/2024,NACH DR-AIRTEL BROADBAND BILL JUN2024,-999
02/06/2024,UPI/NETFLIX INDIA/Monthly Subscription/netflix@okicici,-649
02/06/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-500
03/06/2024,NACH DR-JIO MOBILE RECHARGE JUN2024,-299
03/06/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-530
04/06/2024,UPI/SPOTIFY INDIA/Premium Monthly/spotify@okhdfc,-119
04/06/2024,UPI/UBER INDIA/Cab Ride/uber@okaxis,-220
05/06/2024,NACH DR-YOUTUBE PREMIUM MONTHLY,-189
05/06/2024,UPI/AMAZON PAY/Shopping Order/amazon@apl,-1599
06/06/2024,UPI/CULT FIT/Gym Membership JUN/cultfit@okicici,-2000
06/06/2024,NACH DR-AMAZON PRIME MONTHLY JUN2024,-1499
07/06/2024,UPI/ADOBE SYSTEMS/Creative Cloud/adobe@okhdfc,-4762
07/06/2024,POS TXN-DMart WHITEFIELD BENGALURU,-2650
08/06/2024,NACH DR-HDFC HOME LOAN EMI JUN2024,-18500
08/06/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-430
09/06/2024,NEFT CR-FREELANCE-BRAND IDENTITY PROJECT PAYMENT,35000
09/06/2024,UPI/FLIPKART/Electronics Order/flipkart@ybl,-4999
10/06/2024,BBPS DR-BESCOM ELECTRICITY BILL JUN2024,-1720
10/06/2024,UPI/SWIGGY/Grocery Delivery/swiggy@paytm,-810
11/06/2024,POS TXN-APOLLO PHARMACY INDIRANAGAR,-550
12/06/2024,UPI/STARBUCKS INDIA/Coffee/starbucks@okaxis,-510
12/06/2024,UPI/MYNTRA/Clothing Order/myntra@ybl,-2499
13/06/2024,UPI/OLA/Cab Ride/ola@okicici,-195
14/06/2024,UPI/RAPIDO/Bike Ride/rapido@okaxis,-75
14/06/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-470
15/06/2024,POS TXN-RELIANCE FRESH KORAMANGALA BENGALURU,-1460
15/06/2024,NACH DR-SLACK TECHNOLOGIES PRO PLAN,-750
16/06/2024,UPI/BLINKIT/Grocery Order/blinkit@ybl,-730
17/06/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-465
17/06/2024,NACH DR-ZOOM VIDEO MONTHLY SUBSCRIPTION,-1349
18/06/2024,UPI/UBER INDIA/Cab Ride/uber@okaxis,-240
19/06/2024,UPI/DOMINOS PIZZA/Order/dominos@okicici,-599
19/06/2024,UPI/BIGBASKET/Grocery Order/bigbasket@okaxis,-990
20/06/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-385
20/06/2024,NACH DR-NOTION TEAM PLAN MONTHLY,-800
21/06/2024,POS TXN-MEDPLUS PHARMACY HSR LAYOUT,-390
22/06/2024,UPI/IRCTC/Train Ticket BLR-DEL/irctc@okhdfc,-2450
22/06/2024,NACH DR-NORDVPN MONTHLY SUBSCRIPTION,-349
23/06/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-440
24/06/2024,UPI/KFC INDIA/Dinner Order/kfc@okicici,-620
24/06/2024,NACH DR-GITHUB PRO MONTHLY PLAN,-450
25/06/2024,UPI/AMAZON PAY/Shopping Order/amazon@apl,-899
26/06/2024,UPI/UBER INDIA/Cab Ride/uber@okaxis,-175
27/06/2024,UPI/ZOMATO INDIA/Food Order/zomato@okaxis,-415
28/06/2024,POS TXN-DMart WHITEFIELD BENGALURU,-2180
29/06/2024,UPI/SWIGGY/Food Delivery/swiggy@paytm,-355
30/06/2024,IMPS CR-BONUS INCENTIVE Q1 2024-TECHCORP INDIA,12000
